"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"BRITANNIA","EQ","18-Feb-2016","2,652.20","2,668.40","2,767.65","2,668.40","2,751.95","2,753.50","2,723.09","1,95,078","53,12,14,412.15","19,989","1,04,488","53.56"
"BRITANNIA","EQ","19-Feb-2016","2,753.50","2,763.00","2,763.00","2,705.55","2,728.00","2,724.50","2,724.43","1,27,134","34,63,68,157.35","11,133","60,342","47.46"
"BRITANNIA","EQ","22-Feb-2016","2,724.50","2,709.00","2,801.00","2,709.00","2,795.00","2,799.35","2,776.71","3,52,002","97,74,07,578.50","13,959","2,63,610","74.89"
"BRITANNIA","EQ","23-Feb-2016","2,799.35","2,795.10","2,818.00","2,775.00","2,801.00","2,802.25","2,800.27","1,65,587","46,36,88,133.95","12,515","83,921","50.68"
"BRITANNIA","EQ","24-Feb-2016","2,802.25","2,803.00","2,807.90","2,736.60","2,760.00","2,753.40","2,769.33","2,09,736","58,08,27,765.00","11,680","1,42,498","67.94"
"BRITANNIA","EQ","25-Feb-2016","2,753.40","2,755.00","2,773.70","2,672.25","2,677.00","2,685.95","2,702.05","2,21,100","59,74,23,347.65","14,337","1,50,784","68.20"
"BRITANNIA","EQ","26-Feb-2016","2,685.95","2,693.00","2,730.50","2,674.10","2,726.90","2,712.45","2,701.96","2,15,553","58,24,14,668.95","20,744","1,54,375","71.62"
"BRITANNIA","EQ","29-Feb-2016","2,712.45","2,722.00","2,828.00","2,640.00","2,750.00","2,756.25","2,754.52","1,82,463","50,25,97,883.85","19,079","85,381","46.79"
"BRITANNIA","EQ","01-Mar-2016","2,756.25","2,756.00","2,845.00","2,756.00","2,838.05","2,841.70","2,805.89","1,64,771","46,23,29,802.75","18,479","86,020","52.21"
"BRITANNIA","EQ","02-Mar-2016","2,841.70","2,851.00","2,914.50","2,844.30","2,850.00","2,862.85","2,878.51","1,60,110","46,08,77,830.90","19,135","74,412","46.48"
"BRITANNIA","EQ","03-Mar-2016","2,862.85","2,878.00","2,892.80","2,832.00","2,843.80","2,841.85","2,859.64","1,29,406","37,00,54,644.00","16,203","70,574","54.54"
"BRITANNIA","EQ","04-Mar-2016","2,841.85","2,864.00","2,876.95","2,842.00","2,859.00","2,855.20","2,854.15","86,331","24,64,01,574.35","7,479","46,888","54.31"
"BRITANNIA","EQ","08-Mar-2016","2,855.20","2,850.00","2,884.85","2,750.00","2,814.05","2,819.05","2,845.66","1,91,076","54,37,38,283.20","16,193","1,43,391","75.04"
"BRITANNIA","EQ","09-Mar-2016","2,819.05","2,809.95","2,856.00","2,785.00","2,840.00","2,837.80","2,836.24","1,53,683","43,58,81,342.15","16,445","1,06,946","69.59"
"BRITANNIA","EQ","10-Mar-2016","2,837.80","2,830.00","2,858.00","2,800.00","2,834.00","2,834.65","2,832.25","1,47,057","41,65,01,546.65","15,327","1,05,950","72.05"
"BRITANNIA","EQ","11-Mar-2016","2,834.65","2,840.70","2,846.45","2,809.00","2,820.00","2,816.10","2,823.00","71,593","20,21,07,236.80","7,081","36,687","51.24"
"BRITANNIA","EQ","14-Mar-2016","2,816.10","2,832.00","2,860.00","2,815.00","2,815.00","2,823.05","2,840.42","1,12,359","31,91,46,924.05","5,713","68,875","61.30"
"BRITANNIA","EQ","15-Mar-2016","2,823.05","2,800.25","2,821.85","2,750.95","2,775.15","2,758.75","2,789.83","76,969","21,47,30,356.95","9,272","42,372","55.05"
"BRITANNIA","EQ","16-Mar-2016","2,758.75","2,740.10","2,756.00","2,674.15","2,712.30","2,720.30","2,703.31","2,39,753","64,81,25,809.75","20,051","1,46,140","60.95"
"BRITANNIA","EQ","17-Mar-2016","2,720.30","2,740.00","2,740.10","2,688.00","2,688.00","2,697.60","2,708.35","1,34,153","36,33,33,866.70","14,673","79,926","59.58"
"BRITANNIA","EQ","18-Mar-2016","2,697.60","2,699.00","2,715.00","2,670.25","2,682.30","2,685.80","2,683.77","1,20,847","32,43,24,966.25","9,711","79,168","65.51"
"BRITANNIA","EQ","21-Mar-2016","2,685.80","2,691.00","2,749.00","2,691.00","2,746.50","2,734.95","2,719.73","99,413","27,03,76,745.25","10,565","57,388","57.73"
